,DOGE,ADA,BNB,BTC,EOS,ETH,LTC,IOTA,NEO,VET,XLM,XMR,XRP
count,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,589.0,600.0,600.0,600.0
mean,0.007026764487277376,0.005277037196733316,0.004315059739838769,0.002092857453602471,8.407181338550729e-05,0.0036605124046064576,0.0011769308765615654,0.0016861063263279186,0.0014994155449406254,0.00373688894514873,0.0019447167740671094,0.0017840991791477601,0.0013425183552763652
std,0.10462441736567096,0.06512162471201992,0.06657149067181291,0.042051489894736754,0.06913082592832899,0.05632747692514042,0.05894784155292523,0.06915687925141738,0.06550611887376409,0.07951357042483395,0.06669149423193878,0.05882552774814489,0.07266952774823407
min,-0.5151179318371257,-0.50363821847849,-0.5430839503105576,-0.46473017535485006,-0.5042273872187035,-0.5507317441312178,-0.4490616421000784,-0.5435627187122685,-0.46563980738667987,-0.617243472794601,-0.4099505132224479,-0.5341960174975213,-0.5505025324881688
25%,-0.02308557810009859,-0.025312137430527903,-0.020325891247327643,-0.01455199882326541,-0.02155973806336592,-0.019425344169243353,-0.023874983500440594,-0.026174341634133985,-0.02624288828455701,-0.03764705898676546,-0.027234838961022856,-0.02263173011271724,-0.021019128712126633
50%,-0.000775665648465651,0.0039831614705443386,0.002290993289626009,0.0016231500701167079,0.0016315929525166362,0.004696830477755487,0.0018103420012973714,0.0026676864534492806,0.0015751897225573241,0.003378697825624055,0.0028282096558492897,0.0044558492187209975,0.0015057947820252826
75%,0.01937136019589336,0.03430045292197681,0.03155652828387845,0.0193049899139206,0.024085550303970665,0.03138190390876705,0.028134281421130947,0.03467360864927049,0.033320166765967274,0.045346214364133886,0.025979598014867933,0.03194880743522899,0.021834980980652258
max,1.3234694909814277,0.2794358434630134,0.5292178697542562,0.17182056189995976,0.43959749015400185,0.23069522874725834,0.2484338678565674,0.31919529749232867,0.25309348249368036,0.2989214915746772,0.559183800784173,0.3449539448455985,0.44475560318206864
