Publish Date,ADA,BNB,BTC,DOGE,EOS,ETH,IOTA,LTC,NEO,VET,XLM,XMR,XRP
17/11/2019,0.096261905,-0.04432,0.100865438,0.130633333,0.14298,0.157805882,0.136581818,0.091983333,-0.3182,0.147216667,0.053661538,0.112357143,0.081983333
18/11/2019,0.101852174,0.0012875,0.073203922,0.310607692,0.093784375,0.1362625,0.14345,0.28412,0.172433333,0.0542,0.07381875,0.077333333,0.243075
19/11/2019,0.056241667,0.179883333,0.064483871,0.30526,0.2428125,0.188542105,0.400233333,0.429711111,0.233816667,0.277,0.151675,0.050369231,0.168066667
20/11/2019,0.1935625,0.0606,0.125954762,0.318122222,0.012380952,0.10145514,0.215175,0.0137,0.129471429,0.2272,0.196754545,0.03201875,0.151818182
21/11/2019,0.195530769,0.12269375,0.044318156,-0.027891667,0.056358621,0.079381739,0.006533333,0.250466667,0.278442857,0.101266667,0.077023077,-0.062931818,-0.006825
22/11/2019,0.1508,-0.13526,0.006371733,-0.008838462,0.108595,0.087681429,0.06106,0.010088889,0.088614286,0.1358,0.16184375,-0.095646154,0.013977778
23/11/2019,0.009973684,-0.3039,0.03465,0.22144,0.163609091,0.106377193,0.162575,0.1909,0.318366667,0.174325,-0.069675,0.038178261,0.01805
24/11/2019,-0.029107692,0.011616667,0.036617512,0.103453846,-0.00113,0.083191837,0.0364125,0.136711111,0,0.277885714,0.315225,-0.052448,0.0929
25/11/2019,0.122069565,0.130269231,0.062709649,0.20693,0.123672727,0.176154945,0.17065,0.269361538,0.227053846,0.141833333,0.019423077,0.020203226,0.097294872
26/11/2019,-0.06717,0.067085714,0.093817438,0.095428571,0.01678125,0.134052381,0.183064286,0.07675,0.226975,0.1368,0.134171429,-0.011086207,0.114445161
27/11/2019,0.111527778,0.03236,0.056092012,0.26529,0.112285185,0.118981731,0.0639,0.172211111,-0.290333333,0.127342857,-0.071645455,0.195484615,0.047095833
28/11/2019,0.064858333,0.119857143,0.079705682,0.1013,0.120217241,0.132288,0.25508,0.194514286,0.1551,0.25174,0.128269231,0.022155,0.10613913
29/11/2019,0.1366025,0.245,0.131489145,0.262328571,0.192593333,0.095092405,0.11454,0.12584,0.458828571,0.10665,0.119542857,0.188766667,0.094358824
30/11/2019,0.10785,0.10995,0.081905076,0.13558,0.04167619,0.08458871,-0.02608,0.081428571,0.107733333,0.128457143,-0.0168625,-0.020028947,0.10076875
01/12/2019,0.01602,0.078915385,0.080498131,-0.152933333,0.087753333,0.039219481,0.119833333,0.120428571,0.204133333,0.0701875,0,0.058721951,0.025544444
02/12/2019,-0.07873,0.045261538,0.108136478,0.0586125,0.039611111,0.154556627,0.262075,0.246955556,0.12498,0.086484211,-0.0168,0.043313158,0.191729167
03/12/2019,0.158627778,0.126223529,0.103108333,0.271344444,0.09928,0.135088136,0.09176,0.199421429,0.284733333,0.169792308,0.0840125,0.16403,0.005832143
04/12/2019,0.164330769,-0.017915385,0.070813929,0.232216667,0.117795238,0.101759804,0.31005,0.135269231,0,0.240855556,0.040190909,0.169959091,0.074571429
05/12/2019,0.102075,0.19578,0.084337868,0,0.147344444,0.128514173,0.13131,0.236816667,0.244133333,-0.01234375,0.0400625,0.096125,0.178446875
06/12/2019,0.07706,0.113333333,0.11096139,0.228463158,-0.140224138,0.107787387,0.04772,-0.088,0.127266667,0.103930769,0.038654545,0.071076923,0.157286207
07/12/2019,0.149844828,-0.05001,0.078036574,0.419364706,-0.018107692,0.105688732,0.00545,-0.080333333,0.16502,0.145133333,0.0093,0.091455556,0.063433333
08/12/2019,0.115509524,0.00691,0.073813706,0.4543875,0.2199125,0.171994366,0.45205,0.14542,0.3856,0.15424,0.0166,0.162025,0.11188125
09/12/2019,0.056952941,0.142722222,0.051108824,0.3571125,0.071017391,0.055152475,0.17986,-0.051425,0.2216,0.128723077,0.185033333,0.167415152,0.119583333
10/12/2019,0.022069565,0.094911111,0.142019858,0.203663636,0.061094444,0.055756391,0.251635714,0.23664,-0.1084,0.106522222,0.087754545,-0.0680625,0.216208
11/12/2019,0.023978788,-0.090166667,0.097816794,0.088273333,0.051774074,0.103083036,0.066888889,0.200425,-0.011666667,0,0.031825,0.075188462,0.022331034
12/12/2019,0.128157895,0.1140625,0.091529119,0.17618,0.010808,0.135585859,0.146914286,0.297666667,0.22875,0.003783333,0.138344444,0.211695,-0.014636364
13/12/2019,0.149018182,-0.032,0.117005314,0.311941667,0.053492,0.08505119,0.133966667,0.23364,0.12765,-0.0817,0.20644,0.0401,0.062638095
14/12/2019,0.112476923,0.148228571,0.113646486,0.159025,0.064977778,0.034377612,0.1526,0.134733333,0.1647,0.252690909,-0.009,0.068375,0.141036364
15/12/2019,0.002315,0.062575,0.049873333,-0.08688,-0.151054545,0.105018644,-0.111075,-0.133966667,0,0.39225,-0.082633333,0.100895455,0.16021
16/12/2019,0.128396774,0.2574,0.059960072,0.0387,0.115142105,0.122990265,0.105133333,-0.2132,0.10682,0.2713,0.105183333,0.140342857,-0.01386
17/12/2019,0.088695652,0.102777778,0.085814748,0.196788889,0.181684615,0.116241584,0.143125,0.21491,0.522033333,-0.11157,0.05685,0.1182,-0.01328
18/12/2019,0.082412698,0.108857143,0.049399644,0.138692857,0.057595455,0.078201695,-0.010188235,0.0361,0.18925,0.31895,0.112506667,-0.088027778,0.11455
19/12/2019,0.083577778,0.166028571,0.085949237,0.0576,0.095331579,0.119980667,0.147473333,0.042711111,0.5272,0.159891667,0.277383333,-0.012928125,0.040741935
20/12/2019,0.055061538,0.1231625,0.05546157,0.067292857,0.159546667,0.096271951,0.276657143,0.09545,0.47542,0.0778,-0.063075,0.274927778,0.2064275
21/12/2019,0.065424138,0.191925,0.095224,-0.06528,0.321842857,0.075304839,0.164944444,0.084425,0.6369,0,0.15488,0.037323077,0.200723077
22/12/2019,0.144072973,0.2553,0.128015029,0.206775,-0.034936364,0.0685,0.089875,-0.071583333,0.389044444,0.13381,0.145885714,0.14674,0.034378571
23/12/2019,-0.025139394,0.115554545,0.062352632,0.438188889,0.24138,0.181089189,0.29036,0.09488,0.012866667,0.1909,0,-0.044283333,0.062268182
24/12/2019,0.194713333,0,0.068619903,0.3042,0.148890909,0.15259,0,0.19894,0.3289,0.096333333,0.0903,0.137944444,0.062323077
25/12/2019,0.173194118,0.185475,0.107291026,0.054122222,0.082083333,0.10684,-0.000825,0,0.1672,0.262466667,0.049475,0.16557,0.297127273
26/12/2019,0.075683333,0.116954545,0.104972637,0.28225,0.054209524,0.021614286,-0.07695,-0.022318182,0,0.1759,0.026416667,-0.013670588,-0.007361905
27/12/2019,0.168530303,0.0288,0.058383246,0.077214286,0.17325,-0.018898571,0.113333333,-0.025266667,0.381753846,-0.036025,0.020225,0.004871429,0.096805263
28/12/2019,0.097944444,0.292566667,0.071183721,0.284686364,0.177092308,0.046290244,0.11692,-0.0172,0.3138,0.08808,0.07725,-0.020627778,0.0404
29/12/2019,0.094081481,0.01032,0.126271605,0.122541667,0.126676,0.080842857,0.0027625,0.088166667,0.41404,0.190628571,0.20472,0.037421429,0.003316667
30/12/2019,-0.002872727,-0.0423,0.09479693,0.12038,0.1815,0.09272541,0.0875,0.14823,0.100475,-0.02881,-0.068222222,0.157075,0.130171429
31/12/2019,-0.027744828,0.099285714,0.098974468,0.171692857,0.124945455,0.036747059,0.328042857,0.0764875,0.3746625,0.02275,0.05884,-0.1148125,0.005164706
01/01/2020,0.1213,0.05614,0.109341718,0.252838462,0.0722875,0.101574074,0.069114286,0.2072,0.446581818,-0.175566667,0.04766,-0.136278571,0.170586667
02/01/2020,0.068944118,0.204975,0.10279875,0.21988,0.071652632,0.032801754,0.199742857,0.152933333,0.405409091,0.096414286,0.157833333,0.104841667,0.209710345
03/01/2020,0.104117857,0.046542857,0.056357721,0.2156875,0.09,0.119632955,0.11975,0.34192,0.5135,0.0882,0.0784,0.009715385,0.091557143
04/01/2020,0.027092308,0.1052875,0.071967234,0.146088235,0.17813125,0.005684091,0.14965,0.00735,0.373527273,0.08895,0.198123077,0.08762,-0.064821429
05/01/2020,0.1238475,0.267933333,0.147078222,-0.03785,0.3781,0.042086585,0.15228,0.16945,0.3497,0,0.088814286,0.030183333,0.141377778
06/01/2020,0.002847059,0.091275,0.081649576,0.107693333,0.2647,0.120525676,0.094583333,0.25476,-0.05175,0.102341667,0.073954545,0.075525806,0.089955102
07/01/2020,-0.01878,0.125425,0.056415411,0.022394118,0.130192308,0.104226667,0.065322222,0.163571429,0.425516667,0.30914,0.201114286,0.050652632,-0.014361905
08/01/2020,0.148318519,0.069325,0.081606325,0.340333333,0.208578571,0.078634545,0.102711111,0.29328,0.443025,0.2653,0.010527273,0.159923077,-0.045566667
09/01/2020,-0.004095238,-0.0169,0.089512919,0.1772,0.126104762,0.086321656,0.1081,0,0.114516,0.1355,0.001235294,0.121526316,0.103503704
10/01/2020,0.095966667,-0.006727273,0.074202991,0.119515,0.0813625,0.092199296,0.076466667,0.2123,0.101171429,0.022477778,0.180909091,0.05609,-0.026476471
11/01/2020,-0.047452941,-0.095316667,0.082560674,0.13392,0.183072727,0.064633645,0.1204,0.13392,0.51484,0.27605,0,0.022036842,-0.051306667
12/01/2020,0.108921053,0.213666667,0.07875419,0.0516,0.225146667,0.071615447,0.4727,0.25006,0.361411765,-0.0174,0.0694,-0.11924,0.05665
13/01/2020,0.148792857,0.088918182,0.068185141,0.222847059,0.078080952,0.114545685,0,0.14266,0.338825,-0.0107875,0.083122222,-0.014652941,0.14335
14/01/2020,0.032227778,0.155214286,0.058590909,-0.079766667,0.051585,-0.005775429,-0.065025,0.047825,0.257777273,0.3009,-0.089269231,0.022042857,0.058489655
15/01/2020,0.09944,0.049316667,0.07129827,0.062325,0.123247368,-0.023891623,0.016,-0.012433333,0.4394,0.131022222,0.2346375,0.0766,0.03882963
16/01/2020,0.1269,0.0169,0.097695985,0.198941176,0.083323077,-0.034230178,-0.073992308,0.10645,0,0.286828571,-0.03303,0.009605556,0.178441176
17/01/2020,0.139269565,-0.01985,0.081836491,0.00275,0.217952941,-0.056820645,0.154457143,0.334214286,0.456392308,0.050566667,0.103693333,-0.014452941,0.091933333
