Unnamed: 0,ADA,BNB,BTC,DOGE,EOS,ETH,IOTA,LTC,NEO,VET,XLM,XMR,XRP,Publish Date,ada,bnb,btc,doge,eos,eth,ltc,miota,neo,vet,xlm,xmr,xrp
,,,,,,,,,,,,,,2019-12-14,33.0,4.0,205.0,12.0,25.0,85.0,5.0,6.0,4.0,14.0,10.0,25.0,21.0
,,,,,,,,,,,,,,2019-12-15,13.0,7.0,187.0,8.0,9.0,68.0,3.0,9.0,4.0,11.0,10.0,16.0,11.0
,,,,,,,,,,,,,,2019-12-16,20.0,4.0,194.0,5.0,11.0,59.0,3.0,4.0,1.0,2.0,9.0,22.0,10.0
,,,,,,,,,,,,,,2019-12-17,31.0,7.0,277.0,13.0,19.0,113.0,4.0,6.0,5.0,5.0,12.0,21.0,15.0
,,,,,,,,,,,,,,2019-12-18,69.0,9.0,278.0,9.0,13.0,101.0,10.0,8.0,3.0,10.0,18.0,11.0,25.0
,,,,,,,,,,,,,,2019-12-19,63.0,7.0,281.0,14.0,22.0,120.0,4.0,17.0,6.0,14.0,15.0,18.0,26.0
,,,,,,,,,,,,,,2019-12-20,54.0,7.0,263.0,6.0,38.0,150.0,9.0,15.0,3.0,12.0,6.0,32.0,31.0
,,,,,,,,,,,,,,2019-12-21,39.0,8.0,244.0,14.0,15.0,82.0,4.0,7.0,5.0,8.0,8.0,18.0,40.0
,,,,,,,,,,,,,,2019-12-22,29.0,4.0,176.0,10.0,7.0,62.0,4.0,9.0,3.0,2.0,10.0,13.0,26.0
,,,,,,,,,,,,,,2019-12-23,37.0,4.0,170.0,4.0,11.0,35.0,6.0,4.0,9.0,10.0,7.0,20.0,14.0
,,,,,,,,,,,,,,2019-12-24,33.0,11.0,247.0,9.0,15.0,75.0,10.0,5.0,6.0,2.0,5.0,18.0,22.0
,,,,,,,,,,,,,,2019-12-25,30.0,3.0,207.0,11.0,11.0,60.0,5.0,5.0,13.0,9.0,4.0,9.0,13.0
,,,,,,,,,,,,,,2019-12-26,17.0,4.0,155.0,9.0,12.0,45.0,0.0,8.0,12.0,6.0,4.0,10.0,22.0
,,,,,,,,,,,,,,2019-12-27,36.0,11.0,202.0,12.0,21.0,91.0,11.0,2.0,3.0,6.0,6.0,17.0,21.0
,,,,,,,,,,,,,,2019-12-28,33.0,9.0,191.0,14.0,10.0,70.0,6.0,3.0,13.0,8.0,8.0,21.0,19.0
,,,,,,,,,,,,,,2019-12-29,27.0,3.0,215.0,22.0,13.0,82.0,3.0,5.0,4.0,5.0,6.0,18.0,14.0
,,,,,,,,,,,,,,2019-12-30,27.0,5.0,161.0,12.0,25.0,35.0,9.0,8.0,5.0,7.0,5.0,14.0,18.0
,,,,,,,,,,,,,,2019-12-31,22.0,11.0,228.0,10.0,12.0,122.0,10.0,8.0,4.0,10.0,9.0,24.0,14.0
,,,,,,,,,,,,,,2020-01-01,29.0,7.0,187.0,14.0,22.0,102.0,8.0,7.0,8.0,8.0,5.0,8.0,17.0
,,,,,,,,,,,,,,2020-01-02,17.0,5.0,161.0,13.0,8.0,81.0,7.0,7.0,22.0,3.0,5.0,14.0,16.0
,,,,,,,,,,,,,,2020-01-03,34.0,4.0,240.0,15.0,19.0,113.0,3.0,7.0,11.0,7.0,12.0,24.0,29.0
,,,,,,,,,,,,,,2020-01-04,28.0,14.0,270.0,16.0,12.0,88.0,5.0,10.0,9.0,6.0,8.0,26.0,14.0
,,,,,,,,,,,,,,2020-01-05,26.0,8.0,236.0,17.0,16.0,87.0,4.0,2.0,11.0,2.0,13.0,15.0,14.0
,,,,,,,,,,,,,,2020-01-06,40.0,3.0,226.0,6.0,4.0,84.0,6.0,5.0,14.0,1.0,7.0,30.0,9.0
,,,,,,,,,,,,,,2020-01-07,34.0,20.0,236.0,15.0,25.0,74.0,5.0,6.0,6.0,12.0,11.0,31.0,49.0
,,,,,,,,,,,,,,2020-01-08,30.0,8.0,291.0,17.0,13.0,135.0,7.0,9.0,12.0,5.0,7.0,19.0,21.0
,,,,,,,,,,,,,,2020-01-09,27.0,20.0,335.0,15.0,14.0,166.0,5.0,9.0,12.0,10.0,11.0,26.0,15.0
,,,,,,,,,,,,,,2020-01-10,21.0,10.0,210.0,12.0,21.0,158.0,4.0,6.0,25.0,6.0,17.0,19.0,27.0
,,,,,,,,,,,,,,2020-01-11,30.0,11.0,234.0,20.0,16.0,145.0,3.0,6.0,7.0,9.0,11.0,20.0,17.0
,,,,,,,,,,,,,,2020-01-12,17.0,6.0,179.0,5.0,22.0,107.0,5.0,3.0,5.0,4.0,3.0,19.0,15.0
,,,,,,,,,,,,,,2020-01-13,19.0,6.0,179.0,7.0,15.0,126.0,5.0,2.0,17.0,5.0,7.0,15.0,12.0
,,,,,,,,,,,,,,2020-01-14,14.0,11.0,250.0,17.0,21.0,201.0,10.0,6.0,12.0,8.0,9.0,17.0,20.0
,,,,,,,,,,,,,,2020-01-15,18.0,7.0,338.0,12.0,20.0,176.0,8.0,16.0,22.0,13.0,13.0,21.0,29.0
,,,,,,,,,,,,,,2020-01-16,20.0,18.0,290.0,16.0,19.0,193.0,3.0,8.0,11.0,9.0,8.0,11.0,27.0
